Date,SPY
1993-02-01,0.0070873311482484835
1993-02-02,0.0021162068100264017
1993-02-03,0.010515768229970076
1993-02-04,0.004175446187756249
1993-02-05,-0.0006945439282306869
1993-02-08,0.0
1993-02-09,-0.00697365303036499
1993-02-10,0.0013984715439360757
1993-02-11,0.004880077691031189
1993-02-12,-0.00767944565233698
1993-02-16,-0.02555125834710055
1993-02-17,-0.0007189393513552778
1993-02-18,-0.0007197760446989789
1993-02-19,0.003592914853205809
1993-02-22,0.0035801313084775337
1993-02-23,-0.0007142716087954151
1993-02-24,0.01279287133847958
1993-02-25,0.0021162068100264017
1993-02-26,0.0014088671107429
1993-03-01,-0.002819095657582303
1993-03-02,0.014711795240937426
1993-03-03,0.004163547292541937
1993-03-04,-0.0055551288245902055
1993-03-05,-0.0027892184616925397
1993-03-08,0.02210004264834366
1993-03-09,-0.003421358301635786
1993-03-10,0.002053369550832567
1993-03-11,-0.002739778532176241
1993-03-12,-0.010340854908738643
1993-03-15,0.004839440354454208
1993-03-16,0.0
1993-03-17,-0.006226659142150496
1993-03-18,0.00622665914215038
1993-03-19,-0.0015147430779159404
1993-03-22,-0.00556683705036668
1993-03-23,0.0020917642036400474
1993-03-24,0.0
1993-03-25,0.006247562659827607
1993-03-26,-0.0055517657239059015
1993-03-29,0.004166481654518133
1993-03-30,0.0027681939784953225
1993-03-31,-0.000690910486725253
1993-04-01,-0.0034644892354832287
1993-04-02,-0.021038224240020928
1993-04-05,0.0049486842208394805
1993-04-06,-0.0028244185795008084
1993-04-07,0.0035288116864265018
1993-04-08,-0.0014102177234745841
1993-04-12,0.014016088724925508
1993-04-13,0.00208525742910844
1993-04-14,-0.0013896371779029905
1993-04-15,0.0
1993-04-16,0.0
1993-04-19,-0.004180767087466136
1993-04-20,-0.004900647025264436
1993-04-21,-0.0007022010648250715
1993-04-22,-0.012721297749087975
1993-04-23,-0.004276677359959368
1993-04-26,-0.007887734253629052
1993-04-27,0.010741381782033937
1993-04-28,-0.00213854588172368
1993-04-29,0.0042726850820548655
1993-04-30,0.0014203117122158452
1993-05-03,0.0063676074860690955
1993-05-04,0.0035194970969973927
1993-05-05,0.0028071240510794664
1993-05-06,-0.0035096139529109936
1993-05-07,-0.0021126140882401405
1993-05-10,0.0021126140882400746
1993-05-11,0.004210184778930421
1993-05-12,-0.0014017876438942919
1993-05-13,-0.011993011816270951
1993-05-14,-0.0007097076606589244
1993-05-17,0.00354444979029667
1993-05-18,-0.0007073070013780659
1993-05-19,0.020329712376990834
1993-05-20,0.002772489813101091
1993-05-21,-0.009036912560166609
1993-05-24,0.004180767087466093
1993-05-25,0.002083655659599474
1993-05-26,0.012414223443884919
1993-05-27,-0.003432884860544004
1993-05-28,-0.004825938861132372
1993-06-01,0.009629077693156544
1993-06-02,-0.001370253971480062
1993-06-03,-0.003432884860544004
1993-06-04,-0.003444862555895714
